month;soil.depth;dist;soil.moist;rep
JL-2018;P3-40;D1-0.5;6,091;a
JL-2018;P3-40;D1-0.5;6,77;b
JL-2018;P3-40;D1-0.5;9,066;c
JL-2018;P3-40;D2-1.5;8,45;a
JL-2018;P3-40;D2-1.5;6,065;b
JL-2018;P3-40;D2-1.5;4,965;c
JL-2018;P3-40;ctrl-S/B;5,16;a
JL-2018;P3-40;ctrl-S/B;4,356;b
JL-2018;P3-40;ctrl-S/B;6,66;c
JL-2018;P4-50;D0;6,667;a
JL-2018;P4-50;D0;6,512;b
JL-2018;P4-50;D0;9,6;c
JL-2018;P4-50;D1-0.5;8,054;a
JL-2018;P4-50;D1-0.5;8,054;b
JL-2018;P4-50;D1-0.5;9,375;c
JL-2018;P4-50;D2-1.5;8,01;a
JL-2018;P4-50;D2-1.5;9,824;b
JL-2018;P4-50;D2-1.5;7,329;c
JL-2018;P4-50;ctrl-S/B;6,63;a
JL-2018;P4-50;ctrl-S/B;7,063;b
JL-2018;P4-50;ctrl-S/B;5,63;c
AG-2018;P1-20;D0;6,522;a
AG-2018;P1-20;D0;7,098;b
AG-2018;P1-20;D0;4,619;c
AG-2018;P1-20;D1-0.5;6,101;a
AG-2018;P1-20;D1-0.5;5,277;b
AG-2018;P1-20;D1-0.5;4,695;c
AG-2018;P1-20;D2-1.5;7,182;a
AG-2018;P1-20;D2-1.5;6,103;b
AG-2018;P1-20;D2-1.5;4,132;c
AG-2018;P1-20;ctrl-S/B;5,21;a
AG-2018;P1-20;ctrl-S/B;5,022;b
AG-2018;P1-20;ctrl-S/B;4,987;c
AG-2018;P2-30;D0;5,836;a
AG-2018;P2-30;D0;5,565;b
AG-2018;P2-30;D0;6,167;c
AG-2018;P2-30;D1-0.5;5,52;a
AG-2018;P2-30;D1-0.5;4,624;b
AG-2018;P2-30;D1-0.5;6,759;c
AG-2018;P2-30;D2-1.5;7,614;a
AG-2018;P2-30;D2-1.5;6,609;b
AG-2018;P2-30;D2-1.5;6,197;c
AG-2018;P2-30;ctrl-S/B;6,43;a
AG-2018;P2-30;ctrl-S/B;5,987;b
AG-2018;P2-30;ctrl-S/B;6,43;c
AG-2018;P3-40;D0;8,654;a
AG-2018;P3-40;D0;6,174;b
AG-2018;P3-40;D0;4,4;c
AG-2018;P3-40;D1-0.5;7,161;a
AG-2018;P3-40;D1-0.5;5,122;b
AG-2018;P3-40;D1-0.5;5,42;c
AG-2018;P3-40;D2-1.5;7,185;a
AG-2018;P3-40;D2-1.5;6,591;b
AG-2018;P3-40;D2-1.5;7,533;c
AG-2018;P3-40;ctrl-S/B;5,68;a
AG-2018;P3-40;ctrl-S/B;6,78;b
AG-2018;P3-40;ctrl-S/B;5,68;c
AG-2018;P4-50;D0;7,204;a
AG-2018;P4-50;D0;5,281;b
AG-2018;P4-50;D0;7,367;c
AG-2018;P4-50;D1-0.5;8,298;a
AG-2018;P4-50;D1-0.5;5,738;b
AG-2018;P4-50;D1-0.5;9,898;c
AG-2018;P4-50;D2-1.5;6,107;a
AG-2018;P4-50;D2-1.5;6,401;b
AG-2018;P4-50;D2-1.5;7,038;c
AG-2018;P4-50;ctrl-S/B;6,6;a
AG-2018;P4-50;ctrl-S/B;5,345;b
AG-2018;P4-50;ctrl-S/B;5,6;c
