month;soil.depth;dist;soil.moist;rep
S-2017;P2-30;ctrl-S/B;4,33;c
S-2017;P3-40;D0;5,186;a
S-2017;P3-40;D0;4,679;b
S-2017;P3-40;D0;7,992;c
S-2017;P3-40;D1-0.5;4,86;a
S-2017;P3-40;D1-0.5;5,41;b
S-2017;P3-40;D1-0.5;6,852;c
S-2017;P3-40;D2-1.5;6,011;a
S-2017;P3-40;D2-1.5;4,411;b
S-2017;P3-40;D2-1.5;4,878;c
S-2017;P3-40;ctrl-S/B;4,04;a
S-2017;P3-40;ctrl-S/B;4,67;b
S-2017;P3-40;ctrl-S/B;5,04;c
S-2017;P4-50;D0;5,942;a
S-2017;P4-50;D0;5,295;b
S-2017;P4-50;D0;7,045;c
S-2017;P4-50;D1-0.5;5,947;a
S-2017;P4-50;D1-0.5;4,483;b
S-2017;P4-50;D1-0.5;6,02;c
S-2017;P4-50;D2-1.5;6,764;a
S-2017;P4-50;D2-1.5;5,365;b
S-2017;P4-50;D2-1.5;4,32;c
S-2017;P4-50;ctrl-S/B;5,16;a
S-2017;P4-50;ctrl-S/B;6,04;b
S-2017;P4-50;ctrl-S/B;4,16;c
O-2017;P1-20;D0;3,432;a
O-2017;P1-20;D0;3,883;b
O-2017;P1-20;D0;3,184;c
O-2017;P1-20;D1-0.5;4,989;a
O-2017;P1-20;D1-0.5;4,302;b
O-2017;P1-20;D1-0.5;2,806;c
O-2017;P1-20;D2-1.5;2,796;a
O-2017;P1-20;D2-1.5;3,537;b
O-2017;P1-20;D2-1.5;3,302;c
O-2017;P1-20;ctrl-S/B;3,64;a
O-2017;P1-20;ctrl-S/B;3,01;b
O-2017;P1-20;ctrl-S/B;2,76;c
O-2017;P2-30;D0;6,315;a
O-2017;P2-30;D0;7,879;b
O-2017;P2-30;D0;5,206;c
O-2017;P2-30;D1-0.5;8,571;a
O-2017;P2-30;D1-0.5;7,621;b
O-2017;P2-30;D1-0.5;3,587;c
O-2017;P2-30;D2-1.5;5,727;a
O-2017;P2-30;D2-1.5;5,571;b
O-2017;P2-30;D2-1.5;3,573;c
O-2017;P2-30;ctrl-S/B;4,49;a
O-2017;P2-30;ctrl-S/B;5,09;b
O-2017;P2-30;ctrl-S/B;4,77;c
O-2017;P3-40;D0;6,933;a
O-2017;P3-40;D0;5,807;b
O-2017;P3-40;D0;5,822;c
